Gemnr,Gemeente,Bev_2020,van_datum,tot_datum,Totaal_Absoluut,Totaal_inc100000,Zkh_Absoluut,Zkh_inc100000,Overleden_Absoluut,Overleden_inc100000
518,'s-Gravenhage (gemeente),545838,5-8-2020,18-8-2020,520,95.3,6,1.1,3,0.5
796,'s-Hertogenbosch,155111,5-8-2020,18-8-2020,61,39.3,0,0.0,0,0.0
1680,Aa en Hunze,25445,5-8-2020,18-8-2020,0,0.0,0,0.0,0,0.0
358,Aalsmeer,31859,5-8-2020,18-8-2020,4,12.6,0,0.0,0,0.0
197,Aalten,27121,5-8-2020,18-8-2020,2,7.4,0,0.0,0,0.0
59,Achtkarspelen,27843,5-8-2020,18-8-2020,2,7.2,0,0.0,0,0.0
482,Alblasserdam,20165,5-8-2020,18-8-2020,5,24.8,0,0.0,0,0.0
613,Albrandswaard,25590,5-8-2020,18-8-2020,11,43.0,0,0.0,0,0.0
361,Alkmaar,109436,5-8-2020,18-8-2020,19,17.4,0,0.0,0,0.0
141,Almelo,73107,5-8-2020,18-8-2020,2,2.7,0,0.0,0,0.0
34,Almere,211893,5-8-2020,18-8-2020,104,49.1,3,1.4,0,0.0
484,Alphen aan den Rijn,111897,5-8-2020,18-8-2020,24,21.4,1,0.9,0,0.0
1723,Alphen-Chaam,10203,5-8-2020,18-8-2020,3,29.4,0,0.0,0,0.0
1959,Altena,55967,5-8-2020,18-8-2020,10,17.9,0,0.0,0,0.0
60,Ameland,3716,5-8-2020,18-8-2020,0,0.0,0,0.0,0,0.0
307,Amersfoort,157276,5-8-2020,18-8-2020,48,30.5,0,0.0,0,0.0
362,Amstelveen,91675,5-8-2020,18-8-2020,54,58.9,1,1.1,0,0.0
363,Amsterdam,872757,5-8-2020,18-8-2020,1418,162.5,10,1.1,6,0.7
200,Apeldoorn,163818,5-8-2020,18-8-2020,22,13.4,0,0.0,0,0.0
3,Appingedam,11642,5-8-2020,18-8-2020,1,8.6,0,0.0,0,0.0
202,Arnhem,161348,5-8-2020,18-8-2020,40,24.8,0,0.0,0,0.0
106,Assen,68599,5-8-2020,18-8-2020,2,2.9,0,0.0,0,0.0
743,Asten,16721,5-8-2020,18-8-2020,0,0.0,0,0.0,0,0.0
744,Baarle-Nassau,6859,5-8-2020,18-8-2020,0,0.0,0,0.0,0,0.0
308,Baarn,24868,5-8-2020,18-8-2020,1,4.0,0,0.0,0,0.0
489,Barendrecht,48714,5-8-2020,18-8-2020,36,73.9,0,0.0,0,0.0
203,Barneveld,59082,5-8-2020,18-8-2020,19,32.2,0,0.0,0,0.0
888,Beek (L.),15865,5-8-2020,18-8-2020,0,0.0,0,0.0,0,0.0
1954,Beekdaelen,35938,5-8-2020,18-8-2020,2,5.6,0,0.0,0,0.0
370,Beemster,10022,5-8-2020,18-8-2020,11,109.8,0,0.0,0,0.0
889,Beesel,13482,5-8-2020,18-8-2020,3,22.3,0,0.0,0,0.0
1945,Berg en Dal,34992,5-8-2020,18-8-2020,4,11.4,0,0.0,0,0.0
1724,Bergeijk,18635,5-8-2020,18-8-2020,4,21.5,0,0.0,0,0.0
