Date_of_report,Date_of_publication,Municipality_code,Municipality_name,Province,Security_region_code,Security_region_name,Municipal_health_service,ROAZ_region,Total_reported,Hospital_admission,Deceased
2021-03-11 10:00:00,2020-08-20,GM0014,Groningen,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,7.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0034,Almere,Flevoland,VR25,Flevoland,GGD Flevoland,SpoedZorgNet,11.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0037,Stadskanaal,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0047,Veendam,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,1.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0050,Zeewolde,Flevoland,VR25,Flevoland,GGD Flevoland,SpoedZorgNet,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0059,Achtkarspelen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0060,Ameland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0072,Harlingen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0074,Heerenveen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0080,Leeuwarden,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,3.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0085,Ooststellingwerf,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0086,Opsterland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0088,Schiermonnikoog,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0090,Smallingerland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0093,Terschelling,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0096,Vlieland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0098,Weststellingwerf,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0106,Assen,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,1.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0109,Coevorden,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0114,Emmen,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0118,Hoogeveen,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0119,Meppel,Drenthe,VR03,Drenthe,GGD Drenthe,Netwerk Acute Zorg regio Zwolle,1.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0141,Almelo,Overijssel,VR05,Twente,GGD Regio Twente,Acute Zorg Euregio,1.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0147,Borne,Overijssel,VR05,Twente,GGD Regio Twente,Acute Zorg Euregio,1.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0148,Dalfsen,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0150,Deventer,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,1.0,1.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0153,Enschede,Overijssel,VR05,Twente,GGD Regio Twente,Acute Zorg Euregio,8.0,0.0,1.0
2021-03-11 10:00:00,2020-08-20,GM0158,Haaksbergen,Overijssel,VR05,Twente,GGD Regio Twente,Acute Zorg Euregio,1.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0160,Hardenberg,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,2.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0163,Hellendoorn,Overijssel,VR05,Twente,GGD Regio Twente,Acute Zorg Euregio,1.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0164,Hengelo (O.),Overijssel,VR05,Twente,GGD Regio Twente,Acute Zorg Euregio,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0166,Kampen,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0168,Losser,Overijssel,VR05,Twente,GGD Regio Twente,Acute Zorg Euregio,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0171,Noordoostpolder,Flevoland,VR25,Flevoland,GGD Flevoland,SpoedZorgNet,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0173,Oldenzaal,Overijssel,VR05,Twente,GGD Regio Twente,Acute Zorg Euregio,1.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0175,Ommen,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0177,Raalte,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0180,Staphorst,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0183,Tubbergen,Overijssel,VR05,Twente,GGD Regio Twente,Acute Zorg Euregio,0.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0184,Urk,Flevoland,VR25,Flevoland,GGD Flevoland,SpoedZorgNet,1.0,0.0,0.0
2021-03-11 10:00:00,2020-08-20,GM0189,W,,,,,,,,
