Version,Date_of_report,Date_of_publication,Municipality_code,Municipality_name,Province,Security_region_code,Security_region_name,Municipal_health_service,ROAZ_region,Total_reported,Deceased,Hospital_admission
4,2022-02-10 10:00:00,2022-02-10,GM0014,Groningen,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,1585,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0034,Almere,Flevoland,VR25,Flevoland,GGD Flevoland,SpoedZorgNet,675,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0037,Stadskanaal,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,167,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0047,Veendam,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,150,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0050,Zeewolde,Flevoland,VR25,Flevoland,GGD Flevoland,SpoedZorgNet,158,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0059,Achtkarspelen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,254,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0060,Ameland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,22,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0072,Harlingen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,63,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0074,Heerenveen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,332,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0080,Leeuwarden,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,690,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0085,Ooststellingwerf,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,231,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0086,Opsterland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,192,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0088,Schiermonnikoog,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,8,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0090,Smallingerland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,385,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0093,Terschelling,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,24,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0096,Vlieland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,5,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0098,Weststellingwerf,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,175,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0106,Assen,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,309,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0109,Coevorden,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,168,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0114,Emmen,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,543,0,3
4,2022-02-10 10:00:00,2022-02-10,GM0118,Hoogeveen,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,325,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0119,Meppel,Drenthe,VR03,Drenthe,GGD Drenthe,Netwerk Acute Zorg regio Zwolle,226,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0141,Almelo,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,388,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0147,Borne,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,192,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0148,Dalfsen,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,161,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0150,Deventer,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,542,0,1
4,2022-02-10 10:00:00,2022-02-10,GM0153,Enschede,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,1028,0,1
4,2022-02-10 10:00:00,2022-02-10,GM0158,Haaksbergen,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,159,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0160,Hardenberg,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,371,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0163,Hellendoorn,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,156,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0164,Hengelo,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,544,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0166,Kampen,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,380,0,0
4,2022-02-10 10:00:00,2022-02-10,GM0168,Losser,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,146,0,0
