Version,Date_of_report,Date_of_publication,Municipality_code,Municipality_name,Province,Security_region_code,Security_region_name,Municipal_health_service,ROAZ_region,Total_reported,Deceased,Hospital_admission
4,2022-02-17 10:00:00,2022-02-17,GM0014,Groningen,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,1024,0,2
4,2022-02-17 10:00:00,2022-02-17,GM0034,Almere,Flevoland,VR25,Flevoland,GGD Flevoland,SpoedZorgNet,354,1,0
4,2022-02-17 10:00:00,2022-02-17,GM0037,Stadskanaal,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,124,0,0
4,2022-02-17 10:00:00,2022-02-17,GM0047,Veendam,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,107,0,0
4,2022-02-17 10:00:00,2022-02-17,GM0050,Zeewolde,Flevoland,VR25,Flevoland,GGD Flevoland,SpoedZorgNet,123,0,0
4,2022-02-17 10:00:00,2022-02-17,GM0059,Achtkarspelen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,187,0,0
4,2022-02-17 10:00:00,2022-02-17,GM0060,Ameland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,9,0,0
4,2022-02-17 10:00:00,2022-02-17,GM0072,Harlingen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,59,0,0
4,2022-02-17 10:00:00,2022-02-17,GM0074,Heerenveen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,240,0,0
4,2022-02-17 10:00:00,2022-02-17,GM0080,Leeuwarden,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,572,0,0
4,2022-02-17 10:00:00,2022-02-17,GM0085,Ooststellingwerf,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,172,0,0
4,2022-02-17 10:00:00,2022-02-17,GM0086,Opsterland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,194,0,0
