Datum,OverleeftCumulatief
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,4
2020-03-14,7
2020-03-15,7
2020-03-16,8
2020-03-17,8
2020-03-18,11
2020-03-19,11
2020-03-20,13
2020-03-21,15
2020-03-22,18
2020-03-23,20
2020-03-24,23
2020-03-25,27
2020-03-26,36
2020-03-27,42
2020-03-28,46
2020-03-29,57
2020-03-30,66
2020-03-31,82
2020-04-01,100
2020-04-02,114
2020-04-03,136
2020-04-04,149
2020-04-05,158
2020-04-06,180
2020-04-07,203
2020-04-08,227
2020-04-09,255
2020-04-10,282
2020-04-11,301
2020-04-12,317
2020-04-13,332
2020-04-14,382
2020-04-15,434
2020-04-16,482
2020-04-17,528
2020-04-18,550
2020-04-19,556
2020-04-20,612
2020-04-21,663
2020-04-22,706
2020-04-23,752
2020-04-24,812
2020-04-25,829
2020-04-26,837
2020-04-27,847
2020-04-28,895
2020-04-29,932
2020-04-30,975
2020-05-01,1016
2020-05-02,1030
2020-05-03,1037
2020-05-04,1079
2020-05-05,1091
2020-05-06,1127
2020-05-07,1164
2020-05-08,1198
2020-05-09,1207
2020-05-10,1210
2020-05-11,1247
2020-05-12,1289
2020-05-13,1321
2020-05-14,1349
2020-05-15,1384
2020-05-16,1394
2020-05-17,1398
2020-05-18,1430
2020-05-19,1462
2020-05-20,1492
2020-05-21,1498
2020-05-22,1531
2020-05-23,1534
2020-05-24,1534
2020-05-25,1557
2020-05-26,1575
2020-05-27,1599
2020-05-28,1630
2020-05-29,1649
2020-05-30,1656
2020-05-31,1656
2020-06-01,1656
2020-06-02,1681
2020-06-03,1701
2020-06-04,1720
2020-06-05,1730
2020-06-06,1732
2020-06-07,1734
2020-06-08,1750
2020-06-09,1760
2020-06-10,1773
2020-06-11,1784
2020-06-12,1792
2020-06-13,1792
2020-06-14,1794
2020-06-15,1812
2020-06-16,1818
2020-06-17,1824
2020-06-18,1831
2020-06-19,1840
2020-06-20,1840
2020-06-21,1840
2020-06-22,1845
2020-06-23,1851
2020-06-24,1858
2020-06-25,1864
2020-06-26,1868
2020-06-27,1868
2020-06-28,1868
2020-06-29,1871
2020-06-30,1877
2020-07-01,1880
2020-07-02,1884
2020-07-03,1892
2020-07-04,1892
2020-07-05,1893
2020-07-06,1898
2020-07-07,1901
2020-07-08,1904
2020-07-09,1907
2020-07-10,1907
2020-07-11,1907
2020-07-12,1909
2020-07-13,1910
2020-07-14,1911
2020-07-15,1915
2020-07-16,1919
2020-07-17,1919
2020-07-18,1919
2020-07-19,1919
2020-07-20,1924
2020-07-21,1926
2020-07-22,1929
2020-07-23,1931
2020-07-24,1934
2020-07-25,1935
2020-07-26,1935
2020-07-27,1937
2020-07-28,1939
2020-07-29,1940
2020-07-30,1943
2020-07-31,1943
2020-08-01,1944
2020-08-02,1944
2020-08-03,1944
2020-08-04,1945
2020-08-05,1948
2020-08-06,1949
2020-08-07,1950
2020-08-08,1950
2020-08-09,1951
2020-08-10,1952
2020-08-11,1953
2020-08-12,1954
2020-08-13,1955
2020-08-14,1956
2020-08-15,1956
2020-08-16,1957
2020-08-17,1961
2020-08-18,1964
2020-08-19,1969
2020-08-20,1972
2020-08-21,1975
2020-08-22,1975
2020-08-23,1976
2020-08-24,1977
2020-08-25,1978
2020-08-26,1984
2020-08-27,1987
2020-08-28,1993
2020-08-29,1994
2020-08-30,1994
2020-08-31,1997
2020-09-01,1999
2020-09-02,2001
2020-09-03,2004
2020-09-04,2005
2020-09-05,2007
2020-09-06,2008
2020-09-07,2008
2020-09-08,2010
2020-09-09,2011
