Datum,NieuwOpgenomen,OverledenCumulatief,Opgenomen,OpgenomenCumulatief,IntensiveCare,IntensiveCareCumulatief
2020-02-12,0,0,1,0,1,0
2020-02-21,0,0,2,0,2,0
2020-02-25,0,0,3,0,3,0
2020-02-28,0,0,3,0,3,0
2020-02-29,0,0,4,0,3,0
2020-03-01,0,0,5,0,4,0
2020-03-03,0,0,6,0,5,0
2020-03-04,0,0,9,0,7,0
2020-03-05,0,0,9,0,7,0
2020-03-06,0,0,12,0,10,0
2020-03-07,0,0,14,0,11,0
2020-03-08,0,0,18,0,15,0
2020-03-09,0,0,22,0,17,0
2020-03-10,0,0,30,0,17,0
2020-03-11,0,0,40,0,20,0
2020-03-12,0,0,61,0,26,0
2020-03-13,0,0,71,0,29,0
2020-03-14,0,0,88,0,37,0
2020-03-15,0,0,113,0,46,0
2020-03-16,0,0,142,0,53,0
2020-03-17,0,0,171,0,55,0
2020-03-18,0,0,222,0,59,0
2020-03-19,0,0,275,0,65,0
2020-03-20,0,0,354,0,66,0
2020-03-21,0,0,420,0,67,0
2020-03-22,0,0,468,0,67,0
2020-03-23,0,0,561,0,68,0
2020-03-24,0,0,637,0,70,0
2020-03-25,0,0,733,0,70,0
2020-03-26,0,0,819,0,70,0
2020-03-27,0,0,908,0,71,0
2020-03-28,0,0,974,0,70,0
2020-03-29,0,0,1022,0,71,0
2020-03-30,0,0,1111,0,70,0
2020-03-31,0,0,1172,0,71,0
2020-04-01,0,0,1181,0,72,0
2020-04-02,0,0,1225,0,72,0
2020-04-03,0,0,1262,0,71,0
2020-04-04,0,0,1261,0,71,0
2020-04-05,0,0,1273,0,71,0
2020-04-06,0,0,1275,0,71,0
2020-04-07,0,0,1262,0,72,0
2020-04-08,0,0,1206,0,72,0
