Datum,NieuwOpgenomen,OverledenCumulatief,Opgenomen,OpgenomenCumulatief,IntensiveCare,IntensiveCareCumulatief
2020-02-21,1,0,0,1,0,0
2020-02-25,1,0,0,2,0,0
2020-03-01,1,0,0,3,0,0
2020-03-03,1,0,0,4,0,0
2020-03-04,3,0,0,7,0,0
2020-03-05,1,0,0,8,0,0
2020-03-06,3,0,0,11,0,0
2020-03-07,3,0,0,14,0,0
2020-03-08,6,0,0,20,0,0
2020-03-09,6,0,0,26,0,0
2020-03-10,9,0,0,35,0,0
2020-03-11,8,0,0,43,0,0
2020-03-12,23,0,0,66,0,0
2020-03-13,14,0,0,80,0,0
2020-03-14,19,0,0,99,0,0
2020-03-15,27,0,0,126,0,0
2020-03-16,33,0,0,159,0,0
2020-03-17,35,0,0,194,0,0
2020-03-18,51,0,0,245,0,0
2020-03-19,60,0,0,305,0,0
2020-03-20,86,0,0,391,0,0
2020-03-21,70,0,0,461,0,0
2020-03-22,71,0,0,532,0,0
2020-03-23,102,0,0,634,0,0
2020-03-24,107,0,0,741,0,0
2020-03-25,116,0,0,857,0,0
2020-03-26,103,0,0,960,0,0
2020-03-27,117,0,0,1077,0,0
2020-03-28,104,0,0,1181,0,0
2020-03-29,94,0,0,1275,0,0
2020-03-30,137,0,0,1412,0,0
2020-03-31,109,0,0,1521,0,0
2020-04-01,80,0,0,1601,0,0
2020-04-02,97,0,0,1698,0,0
2020-04-03,86,0,0,1784,0,0
2020-04-04,62,0,0,1846,0,0
2020-04-05,76,0,0,1922,0,0
2020-04-06,59,0,0,1981,0,0
2020-04-07,57,0,0,2038,0,0
2020-04-08,32,0,0,2070,0,0
