Datum,NieuwOpgenomen,OverledenCumulatief,Opgenomen,OpgenomenCumulatief,IntensiveCare,IntensiveCareCumulatief
2020-02-21,1,0,0,1,0,0
2020-02-25,1,0,0,2,0,0
2020-03-01,1,0,0,3,0,0
2020-03-03,1,0,0,4,0,0
2020-03-04,3,0,0,7,0,0
2020-03-05,1,0,0,8,0,0
2020-03-06,3,0,0,11,0,0
2020-03-07,3,0,0,14,0,0
2020-03-08,6,0,0,20,0,0
2020-03-09,6,0,0,26,0,0
2020-03-10,9,0,0,35,0,0
2020-03-11,8,0,0,43,0,0
2020-03-12,23,0,0,66,0,0
2020-03-13,14,0,0,80,0,0
2020-03-14,19,0,0,99,0,0
2020-03-15,27,0,0,126,0,0
2020-03-16,33,0,0,159,0,0
2020-03-17,35,0,0,194,0,0
2020-03-18,51,0,0,245,0,0
2020-03-19,60,0,0,305,0,0
2020-03-20,86,0,0,391,0,0
2020-03-21,70,0,0,461,0,0
2020-03-22,71,0,0,532,0,0
2020-03-23,103,0,0,635,0,0
2020-03-24,107,0,0,742,0,0
2020-03-25,117,0,0,859,0,0
2020-03-26,103,0,0,962,0,0
2020-03-27,118,0,0,1080,0,0
2020-03-28,103,0,0,1183,0,0
2020-03-29,94,0,0,1277,0,0
2020-03-30,136,0,0,1413,0,0
2020-03-31,111,0,0,1524,0,0
2020-04-01,82,0,0,1606,0,0
2020-04-02,97,0,0,1703,0,0
2020-04-03,86,0,0,1789,0,0
2020-04-04,63,0,0,1852,0,0
2020-04-05,76,0,0,1928,0,0
2020-04-06,61,0,0,1989,0,0
2020-04-07,64,0,0,2053,0,0
2020-04-08,60,0,0,2113,0,0
2020-04-09,58,0,0,2171,0,0
2020-04-10,52,0,0,2223,0,0
2020-04-11,28,0,0,2251,0,0
2020-04-12,30,0,0,2281,0,0
2020-04-13,9,0,0,2290,0,0
