Datum,IntensiveCare
2020-02-27,3
2020-02-28,4
2020-02-29,3
2020-03-01,4
2020-03-02,4
2020-03-03,5
2020-03-04,7
2020-03-05,7
2020-03-06,10
2020-03-07,11
2020-03-08,15
2020-03-09,17
2020-03-10,18
2020-03-11,20
2020-03-12,27
2020-03-13,30
2020-03-14,38
2020-03-15,46
2020-03-16,52
2020-03-17,55
2020-03-18,59
2020-03-19,68
2020-03-20,70
2020-03-21,70
2020-03-22,70
2020-03-23,72
2020-03-24,73
2020-03-25,74
2020-03-26,74
2020-03-27,74
2020-03-28,74
2020-03-29,74
2020-03-30,74
2020-03-31,74
2020-04-01,75
2020-04-02,75
2020-04-03,75
2020-04-04,74
2020-04-05,76
2020-04-06,75
2020-04-07,76
2020-04-08,76
2020-04-09,76
2020-04-10,75
2020-04-11,75
2020-04-12,75
2020-04-13,76
2020-04-14,76
2020-04-15,76
2020-04-16,76
2020-04-17,77
2020-04-18,76
2020-04-19,76
2020-04-20,76
2020-04-21,76
2020-04-22,77
2020-04-23,77
2020-04-24,76
2020-04-25,76
2020-04-26,76
2020-04-27,76
2020-04-28,76
2020-04-29,76
2020-04-30,76
2020-05-01,76
2020-05-02,76
2020-05-03,76
2020-05-04,76
2020-05-05,76
2020-05-06,73
2020-05-07,72
2020-05-08,72
2020-05-09,72
2020-05-10,72
2020-05-11,73
2020-05-12,71
2020-05-13,71
2020-05-14,71
2020-05-15,71
2020-05-16,70
2020-05-17,70
2020-05-18,70
2020-05-19,67
2020-05-20,66
2020-05-21,66
2020-05-22,66
2020-05-23,63
2020-05-24,64
2020-05-25,63
2020-05-26,63
2020-05-27,59
2020-05-28,58
2020-05-29,57
2020-05-30,55
2020-05-31,55
2020-06-01,55
2020-06-02,55
2020-06-03,51
2020-06-04,53
2020-06-05,51
2020-06-06,51
2020-06-07,50
2020-06-08,49
2020-06-09,48
2020-06-10,48
2020-06-11,48
2020-06-12,47
2020-06-13,45
2020-06-14,44
2020-06-15,44
2020-06-16,44
2020-06-17,42
2020-06-18,40
2020-06-19,38
2020-06-20,39
2020-06-21,37
2020-06-22,39
2020-06-23,37
2020-06-24,36
