Datum,IntensiveCare
2020-02-27,6
2020-02-28,7
2020-02-29,6
2020-03-01,7
2020-03-02,6
2020-03-03,6
2020-03-04,8
2020-03-05,10
2020-03-06,13
2020-03-07,14
2020-03-08,18
2020-03-09,20
2020-03-10,22
2020-03-11,23
2020-03-12,29
2020-03-13,32
2020-03-14,40
2020-03-15,48
2020-03-16,54
2020-03-17,57
2020-03-18,61
2020-03-19,69
2020-03-20,70
2020-03-21,70
2020-03-22,70
2020-03-23,71
2020-03-24,73
2020-03-25,74
2020-03-26,74
2020-03-27,74
2020-03-28,74
2020-03-29,74
2020-03-30,74
2020-03-31,74
2020-04-01,75
2020-04-02,75
2020-04-03,75
2020-04-04,74
2020-04-05,75
2020-04-06,75
2020-04-07,76
2020-04-08,76
2020-04-09,76
2020-04-10,75
2020-04-11,75
2020-04-12,75
2020-04-13,75
2020-04-14,76
2020-04-15,76
2020-04-16,76
2020-04-17,77
2020-04-18,76
2020-04-19,76
2020-04-20,76
2020-04-21,76
2020-04-22,77
2020-04-23,77
2020-04-24,76
2020-04-25,76
2020-04-26,76
2020-04-27,76
2020-04-28,76
2020-04-29,76
2020-04-30,76
2020-05-01,76
2020-05-02,76
2020-05-03,76
2020-05-04,76
2020-05-05,76
2020-05-06,73
2020-05-07,72
2020-05-08,72
2020-05-09,72
2020-05-10,72
2020-05-11,73
2020-05-12,71
2020-05-13,71
2020-05-14,71
2020-05-15,71
2020-05-16,70
2020-05-17,70
2020-05-18,70
2020-05-19,67
2020-05-20,66
2020-05-21,66
2020-05-22,66
2020-05-23,64
2020-05-24,64
2020-05-25,63
2020-05-26,64
2020-05-27,60
2020-05-28,59
2020-05-29,58
2020-05-30,56
2020-05-31,56
2020-06-01,55
2020-06-02,55
2020-06-03,52
2020-06-04,54
2020-06-05,53
2020-06-06,53
2020-06-07,52
2020-06-08,51
2020-06-09,50
2020-06-10,50
2020-06-11,50
2020-06-12,49
2020-06-13,47
2020-06-14,46
2020-06-15,46
2020-06-16,45
2020-06-17,43
2020-06-18,42
2020-06-19,40
2020-06-20,40
2020-06-21,38
2020-06-22,40
2020-06-23,37
2020-06-24,36
2020-06-25,35
2020-06-26,32
2020-06-27,30
2020-06-28,29
2020-06-29,29
2020-06-30,28
2020-07-01,25
2020-07-02,28
2020-07-03,27
2020-07-04,27
2020-07-05,25
2020-07-06,25
2020-07-07,23
2020-07-08,23
2020-07-09,22
2020-07-10,22
2020-07-11,20
2020-07-12,20
2020-07-13,21
2020-07-14,21
2020-07-15,20
2020-07-16,20
2020-07-17,19
2020-07-18,18
2020-07-19,18
2020-07-20,19
2020-07-21,20
2020-07-22,20
2020-07-23,19
2020-07-24,19
2020-07-25,17
2020-07-26,17
2020-07-27,20
2020-07-28,19
2020-07-29,18
2020-07-30,19
2020-07-31,21
2020-08-01,21
2020-08-02,21
2020-08-03,22
2020-08-04,24
2020-08-05,23
2020-08-06,24
2020-08-07,23
2020-08-08,24
2020-08-09,28
2020-08-10,29
2020-08-11,29
2020-08-12,28
2020-08-13,28
2020-08-14,30
2020-08-15,29
2020-08-16,30
2020-08-17,33
2020-08-18,33
2020-08-19,31
2020-08-20,34
2020-08-21,34
2020-08-22,32
2020-08-23,34
2020-08-24,35
2020-08-25,30
2020-08-26,30
2020-08-27,30
2020-08-28,31
2020-08-29,30
2020-08-30,32
2020-08-31,31
2020-09-01,31
2020-09-02,30
2020-09-03,27
2020-09-04,29
2020-09-05,29
2020-09-06,31
2020-09-07,30
2020-09-08,28
2020-09-09,28
2020-09-10,29
2020-09-11,31
2020-09-12,32
2020-09-13,33
2020-09-14,35
2020-09-15,36
2020-09-16,37
2020-09-17,38
2020-09-18,39
2020-09-19,43
2020-09-20,45
2020-09-21,46
2020-09-22,49
2020-09-23,51
2020-09-24,55
2020-09-25,56
2020-09-26,58
2020-09-27,58
2020-09-28,60
2020-09-29,61
2020-09-30,61
2020-10-01,63
2020-10-02,63
2020-10-03,67
2020-10-04,66
2020-10-05,65
2020-10-06,67
2020-10-07,67
2020-10-08,68
2020-10-09,69
2020-10-10,69
2020-10-11,68
2020-10-12,68
2020-10-13,72
2020-10-14,73
2020-10-15,73
2020-10-16,74
2020-10-17,75
2020-10-18,74
2020-10-19,75
2020-10-20,74
2020-10-21,75
2020-10-22,74
2020-10-23,74
2020-10-24,74
2020-10-25,73
2020-10-26,75
2020-10-27,76
2020-10-28,76
2020-10-29,76
2020-10-30,74
2020-10-31,75
2020-11-01,77
2020-11-02,77
2020-11-03,77
2020-11-04,76
