Datum,NieuwOpgenomen,OverledenCumulatief,Opgenomen,OpgenomenCumulatief,IntensiveCare,IntensiveCareCumulatief
2020-02-21,1,0,0,1,0,0
2020-02-25,1,0,0,2,0,0
2020-03-01,1,0,0,3,0,0
2020-03-03,1,0,0,4,0,0
2020-03-04,3,0,0,7,0,0
2020-03-05,1,0,0,8,0,0
2020-03-06,3,0,0,11,0,0
2020-03-07,3,0,0,14,0,0
2020-03-08,7,0,0,21,0,0
2020-03-09,6,0,0,27,0,0
2020-03-10,9,0,0,36,0,0
2020-03-11,8,0,0,44,0,0
2020-03-12,23,0,0,67,0,0
2020-03-13,14,0,0,81,0,0
2020-03-14,19,0,0,100,0,0
2020-03-15,27,0,0,127,0,0
2020-03-16,33,0,0,160,0,0
2020-03-17,35,0,0,195,0,0
2020-03-18,51,0,0,246,0,0
2020-03-19,60,0,0,306,0,0
2020-03-20,86,0,0,392,0,0
2020-03-21,70,0,0,462,0,0
2020-03-22,71,0,0,533,0,0
2020-03-23,102,0,0,635,0,0
2020-03-24,107,0,0,742,0,0
2020-03-25,116,0,0,858,0,0
2020-03-26,103,0,0,961,0,0
2020-03-27,117,0,0,1078,0,0
2020-03-28,104,0,0,1182,0,0
2020-03-29,94,0,0,1276,0,0
2020-03-30,136,0,0,1412,0,0
2020-03-31,111,0,0,1523,0,0
2020-04-01,80,0,0,1603,0,0
2020-04-02,97,0,0,1700,0,0
2020-04-03,86,0,0,1786,0,0
2020-04-04,62,0,0,1848,0,0
2020-04-05,76,0,0,1924,0,0
2020-04-06,60,0,0,1984,0,0
2020-04-07,60,0,0,2044,0,0
2020-04-08,46,0,0,2090,0,0
2020-04-09,16,0,0,2106,0,0
