Datum,OverledenCumulatief
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,2
2020-03-09,2
2020-03-10,2
2020-03-11,4
2020-03-12,5
2020-03-13,5
2020-03-14,5
2020-03-15,7
2020-03-16,12
2020-03-17,14
2020-03-18,17
2020-03-19,25
2020-03-20,30
2020-03-21,42
2020-03-22,48
2020-03-23,65
2020-03-24,75
2020-03-25,88
2020-03-26,106
2020-03-27,121
2020-03-28,139
2020-03-29,164
2020-03-30,184
2020-03-31,218
2020-04-01,243
2020-04-02,264
2020-04-03,296
2020-04-04,315
2020-04-05,338
2020-04-06,356
2020-04-07,386
2020-04-08,403
2020-04-09,415
2020-04-10,443
2020-04-11,458
2020-04-12,473
2020-04-13,494
2020-04-14,504
2020-04-15,521
2020-04-16,539
2020-04-17,557
2020-04-18,568
2020-04-19,587
2020-04-20,606
2020-04-21,627
2020-04-22,643
2020-04-23,656
2020-04-24,665
2020-04-25,680
2020-04-26,690
2020-04-27,701
2020-04-28,707
2020-04-29,713
2020-04-30,726
2020-05-01,728
2020-05-02,737
2020-05-03,742
2020-05-04,748
2020-05-05,753
2020-05-06,759
2020-05-07,767
2020-05-08,771
2020-05-09,776
2020-05-10,777
2020-05-11,784
2020-05-12,787
2020-05-13,792
2020-05-14,796
2020-05-15,803
2020-05-16,805
2020-05-17,806
2020-05-18,806
2020-05-19,808
2020-05-20,814
2020-05-21,818
2020-05-22,821
2020-05-23,822
2020-05-24,823
2020-05-25,824
2020-05-26,828
2020-05-27,829
2020-05-28,831
2020-05-29,834
2020-05-30,834
2020-05-31,834
2020-06-01,837
2020-06-02,837
2020-06-03,842
2020-06-04,845
2020-06-05,845
2020-06-06,846
2020-06-07,846
2020-06-08,846
2020-06-09,847
2020-06-10,848
2020-06-11,848
2020-06-12,849
2020-06-13,850
2020-06-14,852
2020-06-15,853
2020-06-16,856
2020-06-17,858
2020-06-18,859
2020-06-19,860
2020-06-20,861
2020-06-21,862
2020-06-22,863
2020-06-23,864
2020-06-24,865
2020-06-25,865
2020-06-26,866
2020-06-27,867
2020-06-28,867
2020-06-29,867
2020-06-30,867
2020-07-01,867
2020-07-02,868
2020-07-03,868
2020-07-04,868
2020-07-05,868
2020-07-06,869
2020-07-07,870
2020-07-08,870
2020-07-09,870
2020-07-10,870
2020-07-11,870
2020-07-12,871
2020-07-13,872
2020-07-14,872
2020-07-15,872
2020-07-16,872
2020-07-17,872
2020-07-18,872
2020-07-19,872
2020-07-20,873
2020-07-21,873
2020-07-22,874
2020-07-23,874
2020-07-24,874
2020-07-25,874
2020-07-26,874
2020-07-27,874
2020-07-28,874
2020-07-29,875
2020-07-30,875
2020-07-31,877
2020-08-01,877
2020-08-02,877
2020-08-03,877
2020-08-04,878
2020-08-05,878
2020-08-06,879
2020-08-07,879
2020-08-08,879
2020-08-09,881
2020-08-10,881
2020-08-11,882
2020-08-12,882
2020-08-13,882
2020-08-14,882
2020-08-15,883
2020-08-16,883
2020-08-17,885
2020-08-18,885
2020-08-19,885
2020-08-20,886
2020-08-21,887
2020-08-22,887
2020-08-23,887
2020-08-24,888
2020-08-25,888
2020-08-26,888
2020-08-27,888
2020-08-28,889
2020-08-29,889
2020-08-30,890
2020-08-31,892
2020-09-01,893
2020-09-02,893
2020-09-03,893
2020-09-04,894
2020-09-05,894
2020-09-06,894
2020-09-07,894
2020-09-08,895
2020-09-09,896
2020-09-10,897
2020-09-11,897
2020-09-12,897
2020-09-13,897
2020-09-14,898
2020-09-15,899
2020-09-16,900
2020-09-17,900
2020-09-18,900
2020-09-19,901
2020-09-20,902
2020-09-21,905
2020-09-22,905
2020-09-23,906
2020-09-24,907
2020-09-25,909
2020-09-26,910
2020-09-27,912
2020-09-28,914
2020-09-29,916
2020-09-30,919
2020-10-01,923
2020-10-02,923
2020-10-03,925
2020-10-04,930
2020-10-05,933
2020-10-06,935
2020-10-07,939
2020-10-08,942
2020-10-09,953
2020-10-10,956
2020-10-11,963
2020-10-12,967
2020-10-13,970
2020-10-14,976
2020-10-15,978
2020-10-16,990
2020-10-17,996
2020-10-18,1001
2020-10-19,1006
2020-10-20,1014
2020-10-21,1024
2020-10-22,1032
2020-10-23,1050
2020-10-24,1058
2020-10-25,1073
2020-10-26,1079
2020-10-27,1091
2020-10-28,1097
2020-10-29,1106
2020-10-30,1118
2020-10-31,1135
2020-11-01,1145
2020-11-02,1155
2020-11-03,1166
2020-11-04,1179
2020-11-05,1195
2020-11-06,1210
2020-11-07,1223
2020-11-08,1234
2020-11-09,1247
2020-11-10,1262
2020-11-11,1273
2020-11-12,1285
2020-11-13,1300
2020-11-14,1311
2020-11-15,1329
2020-11-16,1345
2020-11-17,1362
2020-11-18,1374
2020-11-19,1387
2020-11-20,1401
2020-11-21,1414
2020-11-22,1428
2020-11-23,1444
2020-11-24,1458
2020-11-25,1472
2020-11-26,1486
2020-11-27,1494
2020-11-28,1508
2020-11-29,1518
2020-11-30,1530
2020-12-01,1541
2020-12-02,1553
2020-12-03,1561
2020-12-04,1572
2020-12-05,1582
2020-12-06,1592
2020-12-07,1600
2020-12-08,1613
2020-12-09,1624
2020-12-10,1633
2020-12-11,1641
2020-12-12,1648
2020-12-13,1656
2020-12-14,1663
2020-12-15,1670
2020-12-16,1685
2020-12-17,1694
2020-12-18,1701
2020-12-19,1713
2020-12-20,1729
2020-12-21,1741
2020-12-22,1751
2020-12-23,1762
2020-12-24,1775
2020-12-25,1789
2020-12-26,1798
2020-12-27,1812
2020-12-28,1823
2020-12-29,1831
2020-12-30,1843
2020-12-31,1858
2021-01-01,1868
2021-01-02,1882
2021-01-03,1898
2021-01-04,1911
2021-01-05,1931
2021-01-06,1943
2021-01-07,1964
2021-01-08,1986
2021-01-09,1998
2021-01-10,2005
2021-01-11,2023
2021-01-12,2031
2021-01-13,2046
2021-01-14,2055
2021-01-15,2067
2021-01-16,2078
2021-01-17,2083
2021-01-18,2099
2021-01-19,2108
2021-01-20,2120
2021-01-21,2135
2021-01-22,2147
2021-01-23,2156
2021-01-24,2169
2021-01-25,2182
2021-01-26,2198
2021-01-27,2212
2021-01-28,2221
2021-01-29,2238
2021-01-30,2245
2021-01-31,2256
2021-02-01,2268
2021-02-02,2284
2021-02-03,2294
2021-02-04,2303
2021-02-05,2317
2021-02-06,2329
2021-02-07,2337
2021-02-08,2339
