Datum,NieuwOpgenomen,OverledenCumulatief,Opgenomen,OpgenomenCumulatief,IntensiveCare,IntensiveCareCumulatief
2020-02-12,0,0,1,0,1,0
2020-02-21,0,0,2,0,2,0
2020-02-25,0,0,3,0,3,0
2020-02-28,0,0,3,0,3,0
2020-02-29,0,0,4,0,3,0
2020-03-01,0,0,5,0,4,0
2020-03-03,0,0,6,0,5,0
2020-03-04,0,0,9,0,7,0
2020-03-05,0,0,9,0,7,0
2020-03-06,0,0,12,0,10,0
2020-03-07,0,0,14,0,11,0
2020-03-08,0,0,19,0,16,0
2020-03-09,0,0,23,0,18,0
2020-03-10,0,0,31,0,18,0
2020-03-11,0,0,41,0,21,0
2020-03-12,0,0,62,0,27,0
2020-03-13,0,0,72,0,30,0
2020-03-14,0,0,89,0,38,0
2020-03-15,0,0,114,0,47,0
2020-03-16,0,0,143,0,54,0
2020-03-17,0,0,172,0,56,0
2020-03-18,0,0,223,0,60,0
2020-03-19,0,0,276,0,66,0
2020-03-20,0,0,355,0,67,0
2020-03-21,0,0,421,0,68,0
2020-03-22,0,0,469,0,68,0
2020-03-23,0,0,562,0,69,0
2020-03-24,0,0,638,0,70,0
2020-03-25,0,0,734,0,70,0
2020-03-26,0,0,820,0,70,0
2020-03-27,0,0,909,0,71,0
2020-03-28,0,0,975,0,70,0
2020-03-29,0,0,1023,0,71,0
2020-03-30,0,0,1111,0,70,0
2020-03-31,0,0,1174,0,71,0
2020-04-01,0,0,1183,0,72,0
2020-04-02,0,0,1227,0,72,0
2020-04-03,0,0,1264,0,71,0
2020-04-04,0,0,1263,0,71,0
2020-04-05,0,0,1275,0,71,0
2020-04-06,0,0,1278,0,71,0
2020-04-07,0,0,1268,0,72,0
2020-04-08,0,0,1223,0,72,0
2020-04-09,0,0,1185,0,71,0
