Datum,OverleeftCumulatief
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,4
2020-03-14,7
2020-03-15,7
2020-03-16,8
2020-03-17,8
2020-03-18,12
2020-03-19,12
2020-03-20,14
2020-03-21,16
2020-03-22,19
2020-03-23,22
2020-03-24,26
2020-03-25,31
2020-03-26,41
2020-03-27,47
2020-03-28,51
2020-03-29,62
2020-03-30,71
2020-03-31,89
2020-04-01,107
2020-04-02,122
2020-04-03,143
2020-04-04,157
2020-04-05,166
2020-04-06,190
2020-04-07,212
2020-04-08,237
2020-04-09,265
2020-04-10,294
2020-04-11,314
2020-04-12,332
2020-04-13,347
2020-04-14,398
2020-04-15,454
2020-04-16,504
2020-04-17,551
2020-04-18,574
2020-04-19,580
2020-04-20,636
2020-04-21,688
2020-04-22,734
2020-04-23,781
2020-04-24,843
2020-04-25,860
2020-04-26,869
2020-04-27,879
2020-04-28,930
2020-04-29,966
2020-04-30,1009
2020-05-01,1050
2020-05-02,1065
2020-05-03,1072
2020-05-04,1115
2020-05-05,1129
2020-05-06,1167
2020-05-07,1206
2020-05-08,1242
2020-05-09,1251
2020-05-10,1254
2020-05-11,1294
2020-05-12,1337
2020-05-13,1372
2020-05-14,1399
2020-05-15,1432
2020-05-16,1441
2020-05-17,1445
2020-05-18,1477
2020-05-19,1509
2020-05-20,1539
2020-05-21,1545
2020-05-22,1578
2020-05-23,1581
2020-05-24,1581
2020-05-25,1604
2020-05-26,1625
2020-05-27,1648
2020-05-28,1679
2020-05-29,1700
2020-05-30,1707
2020-05-31,1707
2020-06-01,1707
2020-06-02,1732
2020-06-03,1753
2020-06-04,1773
2020-06-05,1783
2020-06-06,1785
2020-06-07,1787
2020-06-08,1803
2020-06-09,1815
2020-06-10,1826
2020-06-11,1838
2020-06-12,1848
2020-06-13,1848
2020-06-14,1850
2020-06-15,1868
2020-06-16,1873
2020-06-17,1879
2020-06-18,1886
2020-06-19,1894
2020-06-20,1895
2020-06-21,1895
2020-06-22,1900
2020-06-23,1906
2020-06-24,1912
2020-06-25,1918
2020-06-26,1922
2020-06-27,1922
2020-06-28,1922
2020-06-29,1926
2020-06-30,1933
2020-07-01,1937
2020-07-02,1941
2020-07-03,1949
2020-07-04,1949
2020-07-05,1950
2020-07-06,1955
2020-07-07,1957
2020-07-08,1962
2020-07-09,1966
2020-07-10,1966
2020-07-11,1966
2020-07-12,1968
2020-07-13,1969
2020-07-14,1970
2020-07-15,1973
2020-07-16,1977
2020-07-17,1977
2020-07-18,1977
2020-07-19,1977
2020-07-20,1982
2020-07-21,1984
2020-07-22,1987
2020-07-23,1989
2020-07-24,1993
2020-07-25,1994
2020-07-26,1994
2020-07-27,1995
2020-07-28,1996
2020-07-29,1997
2020-07-30,1999
2020-07-31,1999
2020-08-01,2000
2020-08-02,2000
2020-08-03,2000
2020-08-04,2001
2020-08-05,2004
2020-08-06,2005
2020-08-07,2006
2020-08-08,2006
2020-08-09,2007
2020-08-10,2008
2020-08-11,2009
2020-08-12,2010
2020-08-13,2010
2020-08-14,2011
2020-08-15,2011
2020-08-16,2012
2020-08-17,2015
2020-08-18,2019
2020-08-19,2024
2020-08-20,2027
2020-08-21,2030
2020-08-22,2030
2020-08-23,2031
2020-08-24,2032
2020-08-25,2033
2020-08-26,2038
2020-08-27,2041
2020-08-28,2046
2020-08-29,2047
2020-08-30,2047
2020-08-31,2050
2020-09-01,2052
2020-09-02,2054
2020-09-03,2057
2020-09-04,2058
2020-09-05,2059
2020-09-06,2059
2020-09-07,2059
2020-09-08,2059
2020-09-09,2061
2020-09-10,2063
2020-09-11,2064
2020-09-12,2065
2020-09-13,2065
2020-09-14,2068
2020-09-15,2072
2020-09-16,2073
2020-09-17,2078
2020-09-18,2080
2020-09-19,2082
2020-09-20,2082
2020-09-21,2084
2020-09-22,2086
2020-09-23,2091
2020-09-24,2093
2020-09-25,2097
2020-09-26,2098
2020-09-27,2098
2020-09-28,2101
2020-09-29,2104
2020-09-30,2106
2020-10-01,2113
2020-10-02,2117
2020-10-03,2121
2020-10-04,2125
2020-10-05,2129
2020-10-06,2142
2020-10-07,2152
2020-10-08,2158
2020-10-09,2167
2020-10-10,2177
2020-10-11,2182
2020-10-12,2193
2020-10-13,2206
2020-10-14,2213
2020-10-15,2220
2020-10-16,2239
2020-10-17,2245
2020-10-18,2250
2020-10-19,2259
2020-10-20,2275
2020-10-21,2286
2020-10-22,2305
2020-10-23,2322
2020-10-24,2332
2020-10-25,2343
2020-10-26,2359
2020-10-27,2388
2020-10-28,2408
2020-10-29,2428
2020-10-30,2446
2020-10-31,2455
2020-11-01,2463
2020-11-02,2487
2020-11-03,2511
2020-11-04,2540
2020-11-05,2572
2020-11-06,2594
2020-11-07,2601
2020-11-08,2613
2020-11-09,2645
2020-11-10,2668
2020-11-11,2693
2020-11-12,2718
2020-11-13,2757
2020-11-14,2763
2020-11-15,2770
2020-11-16,2791
2020-11-17,2800
