Datum,NieuwOpgenomenBewezen
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,2
2020-03-02,0
2020-03-03,1
2020-03-04,3
2020-03-05,1
2020-03-06,3
2020-03-07,3
2020-03-08,6
2020-03-09,6
2020-03-10,9
2020-03-11,8
2020-03-12,23
2020-03-13,14
2020-03-14,17
2020-03-15,27
2020-03-16,32
2020-03-17,33
2020-03-18,51
2020-03-19,58
2020-03-20,85
2020-03-21,72
2020-03-22,71
2020-03-23,100
2020-03-24,107
2020-03-25,114
2020-03-26,103
2020-03-27,111
2020-03-28,98
2020-03-29,87
2020-03-30,126
2020-03-31,109
2020-04-01,70
2020-04-02,89
2020-04-03,77
2020-04-04,61
2020-04-05,69
2020-04-06,62
2020-04-07,59
2020-04-08,57
2020-04-09,53
2020-04-10,48
2020-04-11,25
2020-04-12,35
2020-04-13,45
2020-04-14,35
2020-04-15,22
2020-04-16,28
2020-04-17,26
2020-04-18,17
2020-04-19,19
2020-04-20,26
2020-04-21,20
2020-04-22,13
2020-04-23,17
2020-04-24,16
2020-04-25,14
2020-04-26,12
2020-04-27,13
2020-04-28,12
2020-04-29,11
2020-04-30,10
2020-05-01,3
