Datum,OverleeftCumulatief
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,4
2020-03-14,7
2020-03-15,7
2020-03-16,8
2020-03-17,8
2020-03-18,12
2020-03-19,12
2020-03-20,14
2020-03-21,16
2020-03-22,18
2020-03-23,21
2020-03-24,25
2020-03-25,31
2020-03-26,41
2020-03-27,47
2020-03-28,51
2020-03-29,61
2020-03-30,69
2020-03-31,86
2020-04-01,104
2020-04-02,119
2020-04-03,140
2020-04-04,154
2020-04-05,163
2020-04-06,186
2020-04-07,210
2020-04-08,235
2020-04-09,262
2020-04-10,289
2020-04-11,310
2020-04-12,328
2020-04-13,343
2020-04-14,394
2020-04-15,448
2020-04-16,499
2020-04-17,547
2020-04-18,570
2020-04-19,576
2020-04-20,629
2020-04-21,682
2020-04-22,728
2020-04-23,775
2020-04-24,840
2020-04-25,856
2020-04-26,866
2020-04-27,875
2020-04-28,926
2020-04-29,963
2020-04-30,1005
2020-05-01,1044
2020-05-02,1059
2020-05-03,1066
2020-05-04,1109
2020-05-05,1124
2020-05-06,1161
2020-05-07,1201
2020-05-08,1239
2020-05-09,1247
2020-05-10,1250
2020-05-11,1291
2020-05-12,1333
2020-05-13,1368
2020-05-14,1395
2020-05-15,1430
2020-05-16,1439
2020-05-17,1443
2020-05-18,1476
2020-05-19,1508
2020-05-20,1538
2020-05-21,1543
2020-05-22,1576
2020-05-23,1579
2020-05-24,1579
2020-05-25,1602
2020-05-26,1623
2020-05-27,1646
2020-05-28,1677
2020-05-29,1698
2020-05-30,1705
2020-05-31,1705
2020-06-01,1705
2020-06-02,1729
2020-06-03,1750
2020-06-04,1770
2020-06-05,1781
2020-06-06,1783
2020-06-07,1785
2020-06-08,1802
2020-06-09,1815
2020-06-10,1827
2020-06-11,1839
2020-06-12,1849
2020-06-13,1849
2020-06-14,1851
2020-06-15,1869
2020-06-16,1874
2020-06-17,1881
2020-06-18,1888
2020-06-19,1896
2020-06-20,1897
2020-06-21,1897
2020-06-22,1901
2020-06-23,1908
2020-06-24,1914
2020-06-25,1920
2020-06-26,1924
2020-06-27,1924
2020-06-28,1924
2020-06-29,1929
2020-06-30,1936
2020-07-01,1941
2020-07-02,1945
2020-07-03,1955
2020-07-04,1955
2020-07-05,1956
2020-07-06,1961
2020-07-07,1963
2020-07-08,1968
2020-07-09,1972
2020-07-10,1972
2020-07-11,1972
2020-07-12,1974
2020-07-13,1975
2020-07-14,1976
2020-07-15,1978
2020-07-16,1983
2020-07-17,1983
2020-07-18,1983
2020-07-19,1983
2020-07-20,1988
2020-07-21,1990
2020-07-22,1994
2020-07-23,1996
2020-07-24,2000
2020-07-25,2001
2020-07-26,2001
2020-07-27,2003
2020-07-28,2004
2020-07-29,2005
2020-07-30,2007
2020-07-31,2007
2020-08-01,2008
2020-08-02,2008
2020-08-03,2008
2020-08-04,2009
2020-08-05,2012
2020-08-06,2013
2020-08-07,2014
2020-08-08,2014
2020-08-09,2015
2020-08-10,2016
2020-08-11,2017
2020-08-12,2018
2020-08-13,2018
2020-08-14,2019
2020-08-15,2019
2020-08-16,2020
2020-08-17,2023
2020-08-18,2027
2020-08-19,2033
2020-08-20,2036
2020-08-21,2039
2020-08-22,2039
2020-08-23,2040
2020-08-24,2041
2020-08-25,2042
2020-08-26,2048
2020-08-27,2052
2020-08-28,2057
2020-08-29,2058
2020-08-30,2058
2020-08-31,2061
2020-09-01,2063
2020-09-02,2065
2020-09-03,2068
2020-09-04,2069
2020-09-05,2069
2020-09-06,2069
2020-09-07,2070
2020-09-08,2070
2020-09-09,2072
2020-09-10,2074
2020-09-11,2076
2020-09-12,2077
2020-09-13,2077
2020-09-14,2080
2020-09-15,2084
2020-09-16,2085
2020-09-17,2090
2020-09-18,2092
2020-09-19,2094
2020-09-20,2094
2020-09-21,2097
2020-09-22,2100
2020-09-23,2105
2020-09-24,2107
2020-09-25,2111
2020-09-26,2112
2020-09-27,2112
2020-09-28,2116
2020-09-29,2119
2020-09-30,2122
2020-10-01,2130
2020-10-02,2133
2020-10-03,2137
2020-10-04,2141
2020-10-05,2145
2020-10-06,2157
2020-10-07,2166
2020-10-08,2173
2020-10-09,2183
2020-10-10,2193
2020-10-11,2197
2020-10-12,2207
2020-10-13,2220
2020-10-14,2227
2020-10-15,2236
2020-10-16,2257
2020-10-17,2263
2020-10-18,2268
2020-10-19,2279
2020-10-20,2297
2020-10-21,2310
2020-10-22,2331
2020-10-23,2349
2020-10-24,2360
2020-10-25,2370
2020-10-26,2388
2020-10-27,2415
2020-10-28,2437
2020-10-29,2457
2020-10-30,2480
2020-10-31,2489
2020-11-01,2497
2020-11-02,2523
2020-11-03,2550
2020-11-04,2579
2020-11-05,2611
2020-11-06,2638
2020-11-07,2647
2020-11-08,2658
2020-11-09,2692
2020-11-10,2721
2020-11-11,2750
2020-11-12,2777
2020-11-13,2816
2020-11-14,2823
2020-11-15,2831
2020-11-16,2857
2020-11-17,2889
2020-11-18,2915
2020-11-19,2943
2020-11-20,2971
2020-11-21,2977
2020-11-22,2984
2020-11-23,3013
2020-11-24,3042
2020-11-25,3069
2020-11-26,3090
2020-11-27,3121
2020-11-28,3129
2020-11-29,3133
2020-11-30,3158
2020-12-01,3179
2020-12-02,3201
2020-12-03,3218
2020-12-04,3249
2020-12-05,3253
2020-12-06,3259
2020-12-07,3282
2020-12-08,3310
2020-12-09,3338
2020-12-10,3359
2020-12-11,3380
2020-12-12,3388
2020-12-13,3390
2020-12-14,3419
2020-12-15,3439
2020-12-16,3466
2020-12-17,3491
2020-12-18,3515
2020-12-19,3519
2020-12-20,3527
2020-12-21,3558
2020-12-22,3587
2020-12-23,3611
2020-12-24,3645
2020-12-25,3650
2020-12-26,3656
2020-12-27,3662
2020-12-28,3686
2020-12-29,3709
2020-12-30,3738
2020-12-31,3759
2021-01-01,3773
2021-01-02,3781
2021-01-03,3792
2021-01-04,3817
2021-01-05,3857
2021-01-06,3899
2021-01-07,3935
2021-01-08,3975
2021-01-09,3986
2021-01-10,3996
2021-01-11,4030
2021-01-12,4074
2021-01-13,4108
2021-01-14,4144
2021-01-15,4175
2021-01-16,4183
2021-01-17,4190
2021-01-18,4225
2021-01-19,4262
2021-01-20,4294
2021-01-21,4326
2021-01-22,4365
2021-01-23,4379
2021-01-24,4383
2021-01-25,4421
2021-01-26,4451
2021-01-27,4478
2021-01-28,4505
2021-01-29,4533
2021-01-30,4545
2021-01-31,4549
2021-02-01,4583
2021-02-02,4612
2021-02-03,4657
2021-02-04,4696
2021-02-05,4736
2021-02-06,4745
2021-02-07,4750
2021-02-08,4787
2021-02-09,4829
2021-02-10,4864
2021-02-11,4894
2021-02-12,4923
2021-02-13,4932
2021-02-14,4936
2021-02-15,4969
2021-02-16,5000
2021-02-17,5025
2021-02-18,5048
2021-02-19,5083
2021-02-20,5089
2021-02-21,5095
2021-02-22,5120
2021-02-23,5141
2021-02-24,5174
2021-02-25,5197
2021-02-26,5219
2021-02-27,5231
2021-02-28,5235
2021-03-01,5267
2021-03-02,5309
2021-03-03,5341
2021-03-04,5372
2021-03-05,5408
2021-03-06,5422
2021-03-07,5432
2021-03-08,5459
2021-03-09,5496
2021-03-10,5525
2021-03-11,5548
2021-03-12,5580
2021-03-13,5588
2021-03-14,5592
2021-03-15,5632
2021-03-16,5667
