Datum,OverleeftCumulatief
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,4
2020-03-14,7
2020-03-15,7
2020-03-16,8
2020-03-17,8
2020-03-18,11
2020-03-19,11
2020-03-20,13
2020-03-21,15
2020-03-22,18
2020-03-23,20
2020-03-24,23
2020-03-25,27
2020-03-26,36
2020-03-27,42
2020-03-28,46
2020-03-29,57
2020-03-30,66
2020-03-31,82
2020-04-01,100
2020-04-02,114
2020-04-03,136
2020-04-04,149
2020-04-05,158
2020-04-06,180
2020-04-07,203
2020-04-08,227
2020-04-09,255
2020-04-10,282
2020-04-11,301
2020-04-12,317
2020-04-13,332
2020-04-14,382
2020-04-15,434
2020-04-16,482
2020-04-17,529
2020-04-18,551
2020-04-19,557
2020-04-20,613
2020-04-21,664
2020-04-22,707
2020-04-23,753
2020-04-24,813
2020-04-25,830
2020-04-26,838
2020-04-27,848
2020-04-28,896
2020-04-29,933
2020-04-30,976
2020-05-01,1017
2020-05-02,1031
2020-05-03,1038
2020-05-04,1080
2020-05-05,1092
2020-05-06,1128
2020-05-07,1165
2020-05-08,1199
2020-05-09,1208
2020-05-10,1211
2020-05-11,1248
2020-05-12,1290
2020-05-13,1322
2020-05-14,1350
2020-05-15,1385
2020-05-16,1395
2020-05-17,1399
2020-05-18,1431
2020-05-19,1463
2020-05-20,1494
2020-05-21,1500
2020-05-22,1533
2020-05-23,1536
2020-05-24,1536
2020-05-25,1559
2020-05-26,1577
2020-05-27,1601
2020-05-28,1632
2020-05-29,1651
2020-05-30,1658
2020-05-31,1658
2020-06-01,1658
2020-06-02,1683
2020-06-03,1703
2020-06-04,1722
2020-06-05,1732
2020-06-06,1734
2020-06-07,1736
2020-06-08,1752
2020-06-09,1762
2020-06-10,1775
2020-06-11,1786
2020-06-12,1794
2020-06-13,1794
2020-06-14,1795
2020-06-15,1813
2020-06-16,1819
2020-06-17,1825
2020-06-18,1832
2020-06-19,1841
2020-06-20,1841
2020-06-21,1841
2020-06-22,1846
2020-06-23,1852
2020-06-24,1859
2020-06-25,1865
2020-06-26,1869
2020-06-27,1869
2020-06-28,1869
2020-06-29,1872
2020-06-30,1878
2020-07-01,1881
2020-07-02,1885
2020-07-03,1893
2020-07-04,1893
2020-07-05,1894
2020-07-06,1899
2020-07-07,1902
2020-07-08,1905
2020-07-09,1908
2020-07-10,1908
2020-07-11,1908
2020-07-12,1910
2020-07-13,1911
2020-07-14,1912
2020-07-15,1916
2020-07-16,1920
2020-07-17,1920
2020-07-18,1920
2020-07-19,1920
2020-07-20,1925
2020-07-21,1927
2020-07-22,1930
2020-07-23,1932
2020-07-24,1935
2020-07-25,1936
2020-07-26,1936
2020-07-27,1938
2020-07-28,1940
2020-07-29,1941
2020-07-30,1944
2020-07-31,1944
2020-08-01,1945
2020-08-02,1945
2020-08-03,1945
2020-08-04,1946
2020-08-05,1949
2020-08-06,1950
2020-08-07,1951
2020-08-08,1951
2020-08-09,1952
2020-08-10,1953
2020-08-11,1954
2020-08-12,1955
2020-08-13,1956
2020-08-14,1957
2020-08-15,1957
2020-08-16,1958
2020-08-17,1962
2020-08-18,1965
2020-08-19,1970
2020-08-20,1973
2020-08-21,1976
2020-08-22,1976
2020-08-23,1977
2020-08-24,1978
2020-08-25,1979
2020-08-26,1985
2020-08-27,1988
2020-08-28,1994
2020-08-29,1995
2020-08-30,1995
2020-08-31,1997
2020-09-01,1999
2020-09-02,2001
2020-09-03,2004
2020-09-04,2005
2020-09-05,2007
2020-09-06,2008
2020-09-07,2008
