Datum,NieuwOpgenomenBewezen
2020-02-27,1
2020-02-28,0
2020-02-29,0
2020-03-01,2
2020-03-02,0
2020-03-03,1
2020-03-04,3
2020-03-05,1
2020-03-06,4
2020-03-07,3
2020-03-08,6
2020-03-09,5
2020-03-10,9
2020-03-11,9
2020-03-12,23
2020-03-13,13
2020-03-14,18
2020-03-15,27
2020-03-16,32
2020-03-17,35
2020-03-18,50
2020-03-19,59
2020-03-20,82
2020-03-21,72
2020-03-22,72
2020-03-23,98
2020-03-24,107
2020-03-25,114
2020-03-26,104
2020-03-27,113
2020-03-28,99
2020-03-29,86
2020-03-30,126
2020-03-31,109
2020-04-01,72
2020-04-02,88
2020-04-03,76
2020-04-04,62
2020-04-05,72
2020-04-06,60
2020-04-07,55
2020-04-08,55
2020-04-09,49
2020-04-10,48
2020-04-11,26
2020-04-12,34
2020-04-13,43
2020-04-14,34
2020-04-15,23
2020-04-16,28
2020-04-17,25
2020-04-18,19
2020-04-19,19
2020-04-20,25
2020-04-21,20
2020-04-22,14
2020-04-23,16
2020-04-24,17
2020-04-25,13
2020-04-26,13
2020-04-27,14
2020-04-28,14
2020-04-29,11
2020-04-30,17
2020-05-01,9
2020-05-02,9
2020-05-03,10
2020-05-04,11
2020-05-05,3
2020-05-06,5
2020-05-07,8
2020-05-08,7
2020-05-09,5
2020-05-10,4
2020-05-11,7
2020-05-12,2
2020-05-13,3
2020-05-14,8
2020-05-15,3
2020-05-16,7
2020-05-17,4
2020-05-18,4
2020-05-19,1
2020-05-20,2
2020-05-21,2
2020-05-22,4
2020-05-23,3
2020-05-24,7
2020-05-25,1
2020-05-26,4
2020-05-27,3
2020-05-28,1
2020-05-29,1
2020-05-30,3
2020-05-31,4
2020-06-01,4
2020-06-02,1
2020-06-03,4
2020-06-04,5
2020-06-05,3
2020-06-06,2
2020-06-07,3
2020-06-08,0
2020-06-09,2
2020-06-10,2
2020-06-11,1
2020-06-12,3
2020-06-13,2
2020-06-14,0
2020-06-15,1
2020-06-16,2
2020-06-17,0
2020-06-18,1
2020-06-19,0
2020-06-20,2
2020-06-21,0
2020-06-22,3
2020-06-23,1
2020-06-24,1
2020-06-25,1
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,2
2020-07-01,0
2020-07-02,2
2020-07-03,0
2020-07-04,1
2020-07-05,0
2020-07-06,1
2020-07-07,1
2020-07-08,2
2020-07-09,1
2020-07-10,1
2020-07-11,0
2020-07-12,1
2020-07-13,0
2020-07-14,0
2020-07-15,1
2020-07-16,1
2020-07-17,0
2020-07-18,0
2020-07-19,1
2020-07-20,0
2020-07-21,2
2020-07-22,1
2020-07-23,1
2020-07-24,1
2020-07-25,1
2020-07-26,1
2020-07-27,4
2020-07-28,0
2020-07-29,0
2020-07-30,3
2020-07-31,4
2020-08-01,2
2020-08-02,2
2020-08-03,3
2020-08-04,3
2020-08-05,2
2020-08-06,2
2020-08-07,1
2020-08-08,1
2020-08-09,5
2020-08-10,4
2020-08-11,3
2020-08-12,4
2020-08-13,4
2020-08-14,6
2020-08-15,1
2020-08-16,4
2020-08-17,7
2020-08-18,2
2020-08-19,3
2020-08-20,5
2020-08-21,6
2020-08-22,0
2020-08-23,5
2020-08-24,1
2020-08-25,3
2020-08-26,0
2020-08-27,2
2020-08-28,1
2020-08-29,2
2020-08-30,3
2020-08-31,1
2020-09-01,2
2020-09-02,0
2020-09-03,4
2020-09-04,4
2020-09-05,1
2020-09-06,4
2020-09-07,3
2020-09-08,3
2020-09-09,2
2020-09-10,5
2020-09-11,6
2020-09-12,6
2020-09-13,4
2020-09-14,8
2020-09-15,5
2020-09-16,1
2020-09-17,4
2020-09-18,6
2020-09-19,13
2020-09-20,14
2020-09-21,11
2020-09-22,11
2020-09-23,11
2020-09-24,10
2020-09-25,17
2020-09-26,12
2020-09-27,17
2020-09-28,15
2020-09-29,22
2020-09-30,15
2020-10-01,12
2020-10-02,12
2020-10-03,18
2020-10-04,23
2020-10-05,27
2020-10-06,32
2020-10-07,28
2020-10-08,23
2020-10-09,26
2020-10-10,27
2020-10-11,19
2020-10-12,36
2020-10-13,35
2020-10-14,37
2020-10-15,35
2020-10-16,51
2020-10-17,27
2020-10-18,40
2020-10-19,53
2020-10-20,29
